Gradients,Years,,,,,,,,,,,,,
Stocks,19_21,20_22,21_23,22_24,19_21,20_22,21_23,22_24,,,19_21,20_22,21_23,22_24
DUK,0.01,0.06,0.01,-0.02,flat,up,flat,flat,,,,,,
DVA,0.13,0.08,-0.11,0.05,up,up,down,up,,,,,,
DVN,-0.02,0.08,0.09,-0.04,flat,up,up,down,,,,,,
DXCM,0.17,0.09,-0.03,0.06,up,up,down,up,,,,,,
EA,0.11,0.02,-0.05,0.02,up,flat,down,flat,,,,,,
EBAY,0.05,0.05,-0.06,0,up,up,down,flat,,,,,,
ECL,0.06,0.03,-0.18,0.11,up,up,down,up,,,,,,
ED,-0.03,0.03,0.06,0,down,up,up,flat,,,,,,
EFX,0.11,0.29,-0.14,0.1,up,up,down,up,,,,,,
EG,-0.04,0.21,0.2,0.28,down,up,up,up,,,,,,
EIX,-0.01,0.02,0.03,0.02,flat,flat,up,flat,,,,,,
EL,0.18,0.34,-0.2,-0.29,up,up,down,down,,,,,,
ELV,0.1,0.45,0.3,-0.02,up,up,up,flat,,,,,,
EMN,0.06,0.12,-0.07,-0.02,up,up,down,flat,,,,,,
EMR,0.04,0.09,-0.02,0.04,up,up,flat,up,,,,,,
ENPH,0.34,0.3,0.25,-0.33,up,up,up,down,,,,,,
EOG,-0.07,0.13,0.14,0.02,down,up,up,flat,,,,,,
EPAM,0.45,0.71,-0.59,-0.2,up,up,down,down,,,,,,
EQIX,0.58,0.19,-0.28,0.45,up,up,down,up,,,,,,
EQR,-0.04,0.08,-0.03,-0.03,down,up,down,down,,,,,,
EQT,0,0.02,0.05,-0.01,flat,flat,up,flat,,,,,,
ES,0.03,0.01,0,-0.07,up,flat,flat,down,,,,,,
ESS,-0.12,0.3,-0.19,-0.08,down,up,down,down,,,,,,
ETN,0.1,0.19,0.02,0.3,up,up,flat,up,,,,,,
ETR,-0.01,0.04,0.02,-0.03,flat,up,flat,down,,,,,,
ETSY,0.32,0.24,-0.25,-0.08,up,up,down,down,,,,,,
EVRG,-0.01,0.03,0,-0.03,flat,up,flat,down,,,,,,
EW,0.04,0.11,-0.07,-0.05,up,up,down,down,,,,,,
EXC,-0.01,0.04,0.03,-0.01,flat,up,up,flat,,,,,,
EXPD,0.05,0.11,-0.04,0.06,up,up,down,up,,,,,,
EXPE,0,0.25,-0.19,0.03,flat,up,down,up,,,,,,
EXR,0.03,0.26,0.01,-0.1,up,up,flat,down,,,,,,
F,0,0.03,0,0,flat,up,flat,flat,,,,,,
FANG,-0.11,0.19,0.15,0.1,down,up,up,up,,,,,,
FAST,0.04,0.04,-0.01,0.04,up,up,flat,up,,,,,,
FCX,0.04,0.08,0,0.01,up,up,flat,flat,,,,,,
FDS,0.16,0.3,0.17,0.13,up,up,up,up,,,,,,
FDX,0.24,0.18,-0.22,0.16,up,up,down,up,,,,,,
FE,-0.03,0.02,0.01,0,down,flat,flat,flat,,,,,,
FFIV,0.07,0.21,-0.16,0.02,up,up,down,flat,,,,,,
FI,0.03,0.01,-0.02,0.1,up,flat,flat,up,,,,,,
FICO,0.41,0.13,0.28,1.87,up,up,up,up,,,,,,
FIS,0.04,-0.06,-0.17,-0.08,up,down,down,down,,,,,,
FITB,0,0.06,-0.01,-0.01,flat,up,flat,flat,,,,,,
FMC,0.07,0.03,0.05,-0.14,up,up,up,down,,,,,,
FOX,-0.01,0.03,-0.01,-0.01,flat,up,flat,flat,,,,,,
