Sno,Company,Symbol,Portfolio%,      Price
297,"Wec Energy Group, Inc.",WEC,0.06%,   80.28
298,Targa Resources Corp.,TRGP,0.06%,   115.97
299,Weyerhaeuser Company,WY,0.06%,   34.59
300,"Avalonbay Communities, Inc.",AVB,0.06%,   181.08
301,"Church & Dwight Co., Inc.",CHD,0.06%,   102.00
302,"Nvr, Inc.",NVR,0.06%,"   7,907.89"
303,"Builders Firstsource, Inc.",BLDR,0.06%,   204.14
304,Corning Incorporated,GLW,0.06%,   32.54
305,"Pultegroup, Inc.",PHM,0.06%,   116.35
306,Dover Corporation,DOV,0.06%,   175.84
307,Fifth Third Bancorp,FITB,0.06%,   35.30
308,"Raymond James Financial, Inc.",RJF,0.06%,   128.29
309,Take-Two Interactive Software Inc,TTWO,0.05%,   151.04
310,State Street Corporation,STT,0.05%,   75.80
311,Broadridge Financial Solutions Inc,BR,0.05%,   202.75
312,"American Water Works Company, Inc",AWK,0.05%,   118.52
313,"Nasdaq, Inc.",NDAQ,0.05%,   62.04
314,Sba Communications Corp,SBAC,0.05%,   213.40
315,Hewlett Packard Enterprise Company,HPE,0.05%,   18.00
316,Iron Mountain Inc.,IRM,0.05%,   78.64
317,M&t Bank Corp.,MTB,0.05%,   138.71
318,Western Digital Corp.,WDC,0.05%,   73.11
319,Dte Energy Company,DTE,0.05%,   109.10
320,Deckers Outdoor Corp,DECK,0.05%,   879.89
321,Align Technology Inc,ALGN,0.05%,   317.58
322,Steel Dynamics Inc,STLD,0.05%,   147.27
323,Garmin Ltd,GRMN,0.05%,   147.53
324,Hubbell Incorporated,HUBB,0.05%,   417.08
325,Entergy Corporation,ETR,0.05%,   104.23
326,"Ulta Beauty, Inc.",ULTA,0.05%,   444.75
327,"Corpay, Inc.",CPAY,0.05%,   306.20
328,"Netapp, Inc",NTAP,0.05%,   105.05
329,"Molina Healthcare, Inc.",MOH,0.05%,   376.77
330,"Ptc, Inc",PTC,0.05%,   185.28
331,"Axon Enterprise, Inc.",AXON,0.05%,   309.90
332,Baxter International Inc.,BAX,0.05%,   42.62
333,International Flavors & Fragrances Inc.,IFF,0.05%,   83.34
334,Coterra Energy Inc.,CTRA,0.05%,   28.32
335,Aptiv Plc,APTV,0.05%,   74.73
336,Steris Plc,STE,0.05%,   213.48
337,Equity Residential,EQR,0.05%,   61.79
338,Genuine Parts Company,GPC,0.05%,   149.99
339,Ball Corporation,BALL,0.05%,   66.47
340,Eversource Energy,ES,0.05%,   58.51
341,Ppl Corporation,PPL,0.05%,   27.22
342,Illumina Inc,ILMN,0.05%,   127.75
343,Invitation Homes Inc.,INVH,0.05%,   34.77
344,"Brown & Brown, Inc.",BRO,0.05%,   85.15
345,Firstenergy Corp.,FE,0.05%,   38.01
346,Waters Corp,WAT,0.05%,   335.94
347,"The Cooper Companies, Inc.",COO,0.05%,   98.60
348,Teledyne Technologies Incorporated,TDY,0.05%,   416.86
349,Las Vegas Sands Corp.,LVS,0.04%,   53.18
350,Huntington Bancshares Inc,HBAN,0.04%,   13.60
351,"Cboe Global Markets, Inc.",CBOE,0.04%,   180.93
352,"Alexandria Real Estate Equities, Inc.",ARE,0.04%,   124.58
353,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,   75.47
354,"Darden Restaurants, Inc.",DRI,0.04%,   156.35
355,Veralto Corporation,VLTO,0.04%,   87.09
356,Ameren Corporation,AEE,0.04%,   72.71
357,Cincinnati Financial Corp,CINF,0.04%,   121.52
358,Jacobs Solutions Inc.,J,0.04%,   147.92
359,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%,   8.32
360,"Textron, Inc.",TXT,0.04%,   96.65
361,Regions Financial Corp.,RF,0.04%,   20.15
362,"Principal Financial Group, Inc.",PFG,0.04%,   84.51
363,Omnicom Group Inc.,OMC,0.04%,   92.62
364,"First Solar, Inc.",FSLR,0.04%,   174.60
365,Clorox Company,CLX,0.04%,   145.94
366,Hologic Inc,HOLX,0.04%,   77.98
367,Northern Trust Corp,NTRS,0.04%,   86.78
368,Laboratory Corporation of America Holdings,LH,0.04%,   211.26
369,Idex Corporation,IEX,0.04%,   239.38
370,"Centerpoint Energy, Inc.",CNP,0.04%,   28.05
371,W.R. Berkley Corporation,WRB,0.04%,   87.26
372,"Leidos Holdings, Inc.",LDOS,0.04%,   128.66
373,Seagate Technology Holdings Plcs,STX,0.04%,   89.99
374,Avery Dennison Corp.,AVY,0.04%,   218.11
375,"Expedia Group, Inc.",EXPE,0.04%,   131.79
376,Jabil Inc.,JBL,0.04%,   140.47
377,Cms Energy Corporation,CMS,0.04%,   58.65
378,"Tyler Technologies, Inc.",TYL,0.04%,   415.18
379,Atmos Energy Corporation,ATO,0.04%,   116.23
380,Marathon Oil Corporation,MRO,0.04%,   29.69
381,Masco Corporation,MAS,0.04%,   76.90
382,"Ventas, Inc.",VTR,0.04%,   43.09
383,Synchrony Financial,SYF,0.04%,   41.28
384,"Tyson Foods, Inc.",TSN,0.04%,   59.05
385,"Expeditors International of Washington, Inc.",EXPD,0.04%,   117.35
386,Domino's Pizza Inc.,DPZ,0.04%,   493.20
387,Packaging Corp of America,PKG,0.04%,   187.67
388,Skyworks Solutions Inc,SWKS,0.04%,   105.48
389,Southwest Airlines Co.,LUV,0.04%,   28.34
390,Verisign Inc,VRSN,0.04%,   187.82
391,"Enphase Energy, Inc.",ENPH,0.04%,   112.27
392,Factset Research Systems,FDS,0.04%,   433.17
393,"Cf Industries Holding, Inc.",CF,0.04%,   85.11
394,"Everest Group, Ltd.",EG,0.04%,   379.86
395,Celanese Corporation,CE,0.04%,   162.62
396,"Teradyne, Inc.",TER,0.04%,   107.27
397,Akamai Technologies Inc,AKAM,0.04%,   106.24
398,"Nrg Energy, Inc.",NRG,0.04%,   72.77
399,"Citizens Financial Group, Inc.",CFG,0.04%,   33.98
400,Jb Hunt Transport Services Inc,JBHT,0.04%,   195.33
401,Snap-on Incorporated,SNA,0.04%,   292.76
402,Bunge Global Sa,BG,0.04%,   106.86
